country																																																																																																																																
Hong Kong, China												3.000	3.140	3.170	3.490	3.630	4.040	4.570	5.040	4.530	4.630	5.160	5.700	6.170	6.240	6.580	7.580	8.200	9.290	9.450	8.620	8.940	10.620	10.530	10.630	10.590	10.440	10.040	13.100	16.070	13.590	14.170	13.150	13.520	12.700	12.570	13.250	14.240	13.960	14.690	13.670	14.760	14.260	13.950	14.160	13.890	
Hungary						14.480	14.740	15.080	15.460	16.560	17.890	19.040	19.550	21.270	22.030	22.910	24.500	25.860	28.570	28.240	28.340	28.170	28.160	27.730	28.780	29.760	29.630	30.720	30.350	30.130	28.780	27.420	25.130	25.700	24.880	25.850	26.530	26.010	25.690	25.500	25.000	25.600	25.600	26.140	26.070	27.550	27.330	26.730	26.470	24.840	26.510	25.930	24.700	23.890	23.830	25.210	25.600
Iceland	0.540	0.520	0.550	0.610	0.620	0.660	0.710	0.710	0.790	0.720	0.870	0.900	0.920	1.120	1.100	1.110	1.120	1.240	1.280	1.470	1.500	1.660	1.650	1.720	1.800	1.770	1.850	1.930	1.970	2.020	2.270	2.080	2.020	2.180	2.210	2.210	2.380	2.330	2.480	2.780	3.120	3.020	3.110	3.110	3.070	3.120	3.870	4.590	5.190	5.390	5.410	5.790	5.650	5.890	5.860	5.580	6.370
India												151.820	155.330	159.760	166.030	171.920	178.820	183.950	186.490	195.020	200.020	210.140	218.270	225.350	234.700	246.990	255.720	265.480	279.930	293.120	305.710	318.510	330.150	338.050	351.030	371.200	382.560	397.740	407.280	430.760	440.900	447.220	460.580	471.610	496.700	516.160	543.280	573.980	602.210	663.210	693.220	722.640	758.370	776.370	826.190	851.130	
Indonesia												35.050	36.480	38.150	39.550	41.130	42.990	47.770	51.130	53.510	55.700	58.620	60.080	61.180	63.570	65.830	72.610	74.990	77.030	81.400	98.650	103.480	107.870	118.480	118.640	130.850	135.600	140.150	137.090	143.610	155.660	159.180	164.970	165.300	176.100	179.080	183.150	182.130	185.600	200.560	210.620	202.670	210.670	215.490	224.530	225.360	
Iran												16.600	16.280	20.640	24.540	26.630	30.310	33.930	32.860	37.230	38.060	42.860	50.140	42.830	49.820	53.790	54.150	55.230	56.460	66.250	69.330	76.860	80.900	87.110	96.700	101.210	97.630	109.260	111.270	126.220	123.020	133.470	138.050	142.670	155.590	172.670	180.460	190.940	204.620	204.230	204.290	208.320	216.750	220.970	237.160	236.530	
Iraq												4.020	4.290	4.650	5.060	6.090	7.540	7.790	8.880	10.590	9.720	9.620	9.970	12.020	12.710	14.720	15.920	15.800	19.050	20.990	20.040	15.960	23.710	30.860	34.960	33.580	33.620	40.010	28.540	22.060	25.960	29.030	27.600	25.360	26.100	26.430	24.940	25.380	27.490	32.940	37.510	41.040	45.830	49.380	49.490	47.860	
Ireland	3.730	3.940	4.010	4.150	4.360	4.350	4.710	5.130	5.480	5.790	5.980	6.720	6.660	6.910	7.120	6.650	6.830	7.230	7.250	8.550	8.240	8.260	8.220	8.200	8.290	8.630	8.860	9.240	9.140	9.320	9.910	9.990	9.880	10.060	10.560	10.650	11.360	11.960	12.690	13.310	13.800	14.360	14.400	14.050	14.480	14.570	14.630	15.020	14.790	14.280	14.370	13.120	13.120	13.020	12.750	13.260	13.750
Israel												5.740	5.530	7.760	5.850	7.020	6.470	6.450	6.820	7.590	7.820	7.280	7.890	7.360	7.600	7.570	9.040	9.950	10.890	11.240	11.470	11.500	13.220	13.860	14.780	15.510	15.940	16.810	17.230	16.770	18.230	19.140	18.810	19.730	19.210	18.440	20.330	20.810	22.870	21.510	23.190	23.140	23.460	22.370	21.460	22.980	22.320
Italy	39.900	45.010	51.240	57.390	63.130	68.600	75.160	82.080	90.420	98.110	109.050	105.400	111.520	119.120	121.920	116.760	126.150	123.340	126.210	131.790	130.840	128.030	124.770	124.660	127.510	129.300	130.820	136.260	139.470	145.430	146.560	150.160	149.230	148.440	146.570	159.130	158.990	161.250	165.770	168.320	171.520	172.100	173.300	181.600	182.860	186.350	184.650	184.060	181.630	169.600	173.720	167.950	161.320	155.370	146.770	152.600	149.040
Jamaica												2.010	2.560	2.920	2.730	2.680	2.430	2.380	2.470	2.560	2.280	2.320	2.290	2.000	2.010	1.720	1.750	1.800	1.830	2.300	2.780	2.800	2.940	2.950	3.010	3.200	3.370	3.370	3.510	3.600	3.810	3.830	3.570	3.720	3.760	3.710	4.160	4.180	3.520	3.020	2.670	2.850	2.770	2.880	2.810	2.900	
Japan	80.840	91.420	96.190	110.030	123.310	134.640	147.390	173.300	195.900	226.320	256.520	267.530	285.880	320.370	322.140	305.050	324.420	330.190	333.010	352.710	344.520	336.990	336.470	336.770	362.190	362.890	366.970	371.660	397.590	412.530	438.590	442.990	453.370	456.290	481.110	493.680	503.990	509.350	499.940	507.880	517.910	509.580	508.660	504.820	520.960	519.070	518.200	513.540	494.090	470.930	498.530	461.500	451.380	454.610	439.230	429.790	423.760
Jordan												0.490	0.540	0.610	0.650	0.750	0.970	0.990	1.210	1.250	1.520	1.900	2.160	2.340	2.580	2.620	2.810	2.980	2.950	2.970	3.270	3.380	3.800	3.770	4.040	4.300	4.410	4.510	4.660	4.650	4.870	4.820	5.060	5.170	6.220	6.680	6.850	7.210	7.070	7.460	7.100	7.070	7.850	7.730	8.180	8.620	
Kazakhstan																															73.450	74.950	78.840	65.620	58.140	52.240	45.350	39.490	39.340	35.920	35.680	34.540	39.740	43.100	50.790	50.880	61.430	66.090	69.860	63.470	69.120	77.340	73.870	81.540	76.670	78.090	
Kenya												5.290	5.530	5.680	5.900	6.040	6.340	6.650	6.860	7.110	7.370	7.590	7.730	7.870	8.330	8.690	9.470	9.860	10.110	10.490	10.710	10.910	11.200	11.480	11.610	12.160	12.600	12.760	13.230	13.520	14.000	14.190	14.390	14.700	15.450	16.040	16.770	17.130	17.720	18.720	19.560	19.990	20.200	21.360	23.680	25.100	
Korea												16.970	18.470	21.560	23.430	24.460	27.180	31.530	34.580	39.920	41.260	40.520	43.080	46.650	50.790	53.130	60.890	65.750	74.020	78.840	92.910	99.870	110.870	124.370	132.070	144.750	157.280	171.230	156.340	172.890	188.160	191.060	198.700	202.750	208.330	210.290	213.740	222.240	227.110	229.270	250.020	260.500	263.470	263.830	268.430	272.690	284.320
Kuwait												6.120	6.760	7.130	6.810	6.480	7.030	7.590	8.280	10.430	10.450	10.300	11.460	12.180	12.600	14.030	15.190	16.530	20.170	23.560	9.110	2.690	8.820	12.300	14.430	14.790	14.550	14.690	16.790	18.020	18.720	19.980	20.540	21.900	23.370	26.280	25.660	26.260	28.710	31.410	32.090	31.010	34.430	33.710	31.790	34.650	
Kyrgyzstan																															7.490	6.790	4.980	3.870	2.790	2.380	2.760	2.590	2.760	2.410	2.320	2.160	2.420	2.580	2.540	2.570	2.530	2.950	3.160	2.880	2.750	3.310	4.130	3.950	4.090	3.980	
Latvia																															7.890	7.420	6.120	5.280	4.770	4.600	4.520	4.430	4.330	3.980	3.830	4.110	4.070	4.320	4.440	4.530	4.690	4.800	4.590	4.400	4.510	4.260	4.420	4.340	4.340	4.260	4.160
Lebanon												1.850	1.910	2.380	2.450	2.160	2.320	1.810	2.160	2.330	2.470	2.360	1.790	1.940	1.970	2.330	2.580	2.660	1.980	1.960	1.950	2.420	2.450	3.510	3.850	4.410	4.650	5.250	5.160	5.400	4.910	5.260	5.230	5.230	5.290	5.040	4.790	4.230	5.430	6.650	6.380	6.350	7.170	7.070	7.500	7.640	
